"Bereich";"Seitentitel";"URL/Pfad";"Sichtbar angezeigt";"Funktionen/Bedienelemente";"Zugriffsstatus";"Hinweise auf Grenzen"
"Startseite";"Reonic Portal";"/home";"Begrüßung; offene Themen; Aufgaben; Projektzuweisungen für Anfragen/Angebote/Installationen; Datei-Anfragen; Erwähnungen; Agenten- und Signaturübersichten.";"Beobachtet: globale Suche, Reonic KI, Agenten, Tabs/Filter, Öffnen, Hilfe, Updates, Empfehlung, Webinar-Hinweis.";"Zugänglich; angemeldete Identität sichtbar als Daniel Ehmer / WM Erneuerbare Energien.";"Der Auftrag nennt Mikail; diese Browser-Sitzung ist auf Daniel Ehmer angemeldet. Keine Aktionen ausgeführt."
"Aufgaben";"Aufgaben";"/tasks";"1 Ergebnis: Objektaufnahme; Aufgabenliste.";"Beobachtet: Suche, Fälligkeit/Nutzer/Teams/Labels-Filter, Abgeschlossen, Aufgabe hinzufügen, Aktionen.";"Zugänglich";"Datensätze wurden nicht geöffnet oder geändert."
"Dashboard";"Dashboard";"/360h/dashboard";"Sales-Funnel und Kennzahlen; Zeitraum 05.08.2026–02.09.2026; 21 Angebote und weitere Umsatz-/Pipelinewerte sichtbar.";"Beobachtet: Deal-/Zeitraum-/Vergleichsfilter, Nutzer, Teams, Leadquelle, Tags, Archiviert.";"Zugänglich";"Kennzahlen sind zeit- und filterabhängig; keine Datenexporte ausgelöst."
"Wiki";"Wiki";"/wiki";"Firmenvorlagen Speicher-Grundlagen, PV-Grundlagen, Wärmepumpen-Grundlagen; persönlicher Bereich leer.";"Beobachtet: Suche, Firmen-/persönliche Seite erstellen.";"Zugänglich";"Erstellen-Schaltflächen nur beobachtet, nicht verwendet."
"Kontakte";"Kontakte";"/contacts";"187 Kontakte; Listenansicht mit Seitennavigation 1/4 und Kontaktzeilen.";"Beobachtet: Suche, Sortierung Erstellt/Bearbeitet, Kontakt anlegen, Öffnen von Kontakt-Details.";"Zugänglich";"Nicht jeder Datensatz einzeln gecrawlt; repräsentative Detailroute separat erfasst."
"Kontakte – Detail";"Kontakt: Daniel Ehmer";"/contacts/43f94e86-e88f-40e0-9583-d2286b1e05f2";"Kontaktformular; Tabs Mails, Aufgaben, Dateien, Notizen, Aktivität; Hinweis auf 11 mögliche Duplikate.";"Beobachtet: Kontaktfelder, Tabs, Zusammenführen/Speichern; verknüpfte Anfrage/Projekt.";"Zugänglich";"Repräsentative UUID-Detailansicht; viele weitere Kontakt-UUIDs erreichbar, aber nicht einzeln geöffnet. Schreibfunktionen nicht betätigt."
"Kalender";"Kalender";"/calendar";"Monatsansicht September 2026; vier Kalender/Alle; keine Projekttermine in der beobachteten Woche.";"Beobachtet: Heute, Neuer Termin, Kalenderauswahl, Planungsmodus, Monat/Woche/Tag/Agenda.";"Zugänglich";"Neuer Termin nicht geöffnet/erstellt."
"Projekte – Haushalt";"Anfragen";"/360h/requests";"Haushaltsanfragen; Listen-/Kanban-Ansicht; 17 Ergebnisse; Detailzeilen.";"Beobachtet: Importieren, neue Anfrage, Suche, Eingangs-/Status-/Board-/Nutzer-/Teams-/Tags-/Umgewandelt-/Quellen-/Vertriebsstatus-/Lead-Score-/Archiv-Filter.";"Zugänglich";"Detail-UUIDs nur repräsentativ; kein Import/Anlegen."
"Projekte – Gewerbe";"Anfragen";"/360b/requests";"Gewerbe-Unteransicht; Listen-/Kanban-Ansicht und Filterbereich sichtbar.";"Beobachtet: Liste/Kanban, Alle Anfragen, Suche, Status, Tags, Quellen, Vertriebsstatus, Lead-Score, Archiviert, Link zu Haushalt.";"Zugänglich";"Im Text-/UI-Sweep keine belastbare Ergebniszahl bzw. Detailzeile festgehalten; keine Anlage."
"Anfrage – Detail";"Anfrage / Klaus Stubenrauch (Leuchter)";"/360h/request/e77089d9-a13f-44e6-b250-1e56df917a5a/basics";"Allgemeine Kontaktdaten/Projektfelder, Karte, interne Notizen (2), Statuszusammenfassung.";"Beobachtet: Workflow-Navigation, Zuordnung, Notizen/Dateien/Aufgaben/Kalender/Mails, Statusaktionen und Archivieren.";"Zugänglich";"Repräsentative Anfrage-UUID; Status-/Archiv-/Kundenaktionen nicht betätigt."
"Anfrage – Services";"Services";"/360h/request/e77089d9-a13f-44e6-b250-1e56df917a5a/services-de/overview";"Servicekarten für Förderservice, Netzanmeldung, Öltankentsorgung, Baustellenservice, Smartmeter, Finanzierung.";"Beobachtet: Details, Kontakt aufnehmen, Service öffnen.";"Zugänglich";"Kartenfunktionen wurden nur gelesen; kein Kontakt/Service gestartet."
"Anfrage – Lead-Informationen";"Lead-Informationen";"/360h/request/e77089d9-a13f-44e6-b250-1e56df917a5a/request";"Kundennachricht leer; keine Pakete/Systeme; KI-Lead-Analyse mit 62/100 und Aufschlüsselung zu Objekt/Kunde/Solarpotenzial.";"Beobachtet: Lead-Workflow und Analyseansicht.";"Zugänglich";"KI-Wert ist eine Portal-Anzeige, keine unabhängige Prüfung."
"Anfrage – Qualifikation";"Lead-Präqualifikation";"/360h/request/e77089d9-a13f-44e6-b250-1e56df917a5a/checklist";"Lead-Qualifizierung; zwei Pflichtangaben fehlen; Kunde erreicht; Interessen PV/Speicher/Wallbox/Wärmepumpe/Klimaanlage und Umsetzungszeitraum.";"Beobachtet: Checkliste, Als irrelevant markieren, Workflow-Navigation.";"Zugänglich";"Keine Checklistenwerte geändert."
"Projekte – Haushalt";"Angebote";"/360h/offers";"Haushaltsangebote in Listen-/Kanban-Ansichten mit Statusgruppen (u.a. Vorbereitet, Fehlende Infos, In Arbeit, Termin).";"Beobachtet: Standard, Liste/Kanban, Suche, Sortierung Erstellt/Bearbeitet, Nutzer/Teams/Tags/Quellen/Vertriebsstatus/Archiviert.";"Zugänglich";"Angebot anlegen nicht ausgeführt; Detail-UUIDs nicht vollständig gecrawlt."
"Projekte – Gewerbe";"Angebote";"/360b/offers";"Gewerbe-Unteransicht; Liste/Kanban und Filter sichtbar.";"Beobachtet: Standard, Liste/Kanban, Alle Angebote, Suche, Erstellt/Bearbeitet, Nutzer, Teams, Tags, Quellen, Vertriebsstatus, Archiviert, Link zu Haushalt.";"Zugänglich";"Keine belastbare Ergebniszahl im Sweep; keine Anlage."
"Angebot – Detail";"Angebot: Andreas Hofer";"/360h/offer/4c9563f7-06dd-4819-9ab5-a283b8e40ab0/basics";"Status Vorbereitet, Objektaufnahme steht aus; Lead Score 59%; Workflow und leere Bereiche für Notizen/Dateien/Aufgaben/Kalender/Mails.";"Beobachtet: Angebotsworkflow, Status/Zuordnung und Projektkommunikationsbereiche.";"Zugänglich";"Repräsentative Angebots-UUID; keine Status- oder Angebotsänderung."
"Angebot – Beratung";"Beratung";"/360h/offer/e77089d9-a13f-44e6-b250-1e56df917a5a/consultation";"Beratungsansicht mit Statusdialog und Abschnitten Allgemeines, PV usw.";"Beobachtet: Beratungs-/Statusschritte und Workflow-Navigation.";"Zugänglich";"Aufruf mit moveToPrompt=h360Offer öffnete nur die Ansicht; kein Status gespeichert."
"Angebot – Planung";"Planung / Verbrauch";"/360h/offer/e77089d9-a13f-44e6-b250-1e56df917a5a/components/consumption?moveToPrompt=h360Offer";"Planungsschritte I Stromverbrauch, II Gebäude, III Bestand; Variante 1/1; Solar, Speicher, Wallbox, Wärmepumpe, Extras, Zahlung, Ergebnisse, Überprüfung.";"Beobachtet: Eingabefelder Verbrauch/Tarife, Weiter, Planungsschrittnavigation.";"Zugänglich";"Zielroute wird aus dem Angebotsworkflow auf /components/consumption aufgelöst; keine Eingabe/Weiter-Aktion."
"Projekte – Haushalt";"Installationen";"/360h/installations";"Installationsliste und Kanban mit Phasen Machbarkeit, Auftragsbestätigung, erste Zahlung, Netzanschluss, Bestellung/Logistik, Terminplanung, DC/AC-Installation, Inbetriebnahme, Endrechnung, Übergabe.";"Beobachtet: Standard, Liste/Kanban, Installation anlegen, Suche, Sortierung, Nutzer/Teams/Tags/Quellen/Vertriebsstatus/Archiviert.";"Zugänglich";"Keine Installation angelegt; Detail-UUIDs nicht vollständig gecrawlt."
"Projekte – Gewerbe";"Installationen";"/360b/installations";"Gewerbe-Unteransicht; Liste/Kanban, Standard und Filter sichtbar; Installation anlegen war deaktiviert.";"Beobachtet: Liste/Kanban, Alle Installationen, Suche, Erstellt/Bearbeitet, Nutzer, Teams, Tags, Quellen, Vertriebsstatus, Archiviert, Link zu Haushalt.";"Zugänglich; Anlage-Schaltfläche deaktiviert";"Keine belastbare Ergebniszahl im Sweep; kommerzielle Anlage offenbar eingeschränkt/deaktiviert."
"Installation – Terminierung";"Terminierung";"/360h/installation/6870b28e-3a96-420f-b3ec-73794c782e24/calendar";"Workflowphasen und Kalenderansicht 31.08.–06.09.2026 (KW36), fünf Kalender; keine Projekttermine sichtbar.";"Beobachtet: Kalenderansicht, Workflownavigation, Kalenderauswahl.";"Zugänglich";"Repräsentative Installations-UUID; kein Termin erstellt."
"Installation – Arbeitsheft";"Arbeitsheft";"/360h/installation/6870b28e-3a96-420f-b3ec-73794c782e24/workbook";"Kein Installationsvariante ausgewählt; Hinweis Jetzt auswählen!.";"Beobachtet: Varianten-/Arbeitsheft-Navigation.";"Zugänglich";"Keine Variante ausgewählt oder geändert."
"Installation – Baustellendokumentation";"Baustellendokumentation";"/360h/installation/6870b28e-3a96-420f-b3ec-73794c782e24/installation";"Checkliste u.a. Bohrungen (optional) und Phasen; sechs Pflichtfelder fehlen.";"Beobachtet: Dokumentations-/Checklistenbereiche und Workflownavigation.";"Zugänglich";"Keine Pflichtfelder oder Checklistenwerte geändert."
"Verwaltung";"Photogrammetrie";"/photogrammetry/jobs";"2 Ergebnisse, Jobs al Jendi, Huttenheiim und Menges, Uwe – Schriesheim; beide abgeschlossen.";"Beobachtet: Job erstellen, Suche nach Jobname, Nutzer- und Archivfilter, Job-Detail öffnen.";"Zugänglich";"Job erstellen nicht verwendet; zwei Detailrouten vorhanden, eine repräsentativ geprüft."
"Photogrammetrie – Detail";"Photogrammetrie / al Jendi, Huttenheiim";"/photogrammetry/jobs/e4801ef4-a8bb-4636-a37b-ac9094e7d056";"125 Bilder/Videos ausgewählt; Flugpfad überprüft; 3D-Modellkonstruktion abgeschlossen am 04.04.2026; 3D-Szene pausiert; Vorabplanung/Download sichtbar.";"Beobachtet: Schritte Bilder hochladen, Flugpfad prüfen, Job starten, Assets/Job-Ausgaben löschen/zurücksetzen, Herunterladen, Zum Angebot hinzufügen.";"Zugänglich";"Abgeschlossene Assets laut Anzeige nicht bearbeitbar; Reset/Löschen nur als Hinweis beobachtet und nicht ausgeführt. Repräsentative UUID."
"Services";"Wärmepumpenförderung";"/services/hp-subsidy/subsidies";"Serviceübersicht mit Statusspalten Angefragt von, Angefragt am, Status; keine Einträge; Beschreibung des Förderservices und Nachrichtenbereich.";"Beobachtet: Neuer Service/Anfrage, Statusübersicht, Nachrichten; Services-Untermenüs.";"Zugänglich";"Keine Anfrage erstellt; die Einstiegsroute /services/hp-subsidy leitet auf /subsidies um."
"Services";"Netzanmeldung Statusübersicht";"/services/grid-registration/grid-registrations?view=pv";"PV-Statusspalten 1b bis 10 mit jeweils 0; Erklärtexte zu Antrag, Rückfragen, Prüfung, Netzbetreiber, Fertigmeldung und Abschluss.";"Beobachtet: Ansichten PV/Wärmepumpe/Wallbox, Neu, Statusübersicht, Servicehinweise.";"Zugänglich";"Keine Anmeldung gestartet; alternative view-Parameter waren teilweise fehleranfällig bzw. lieferten denselben Zustand."
"Services";"Netzanmeldung Statusübersicht – Wallbox-Parameter";"/services/grid-registration/grid-registrations?view=wallbox";"Dieselbe Statusübersicht wie beim PV-Aufruf; Servicehinweis nennt PV- oder Wärmepumpenprojekte.";"Beobachtet: Statusansicht und Neu-Schaltfläche.";"Zugänglich, aber Parameterwirkung nicht verifiziert";"Direkter Aufruf zeigte keinen eindeutig anderen Wallbox-Datensatz; keine Aktion ausgeführt."
"Services";"Öltankentfernung";"/services/oil-tank-removal/oil-tank-removals";"Keine Einträge; Kundenname, Angefragt von/am, Status; Beschreibung zertifizierte Entsorgung, Angebot binnen 24 Stunden, Bestätigung/Tracking.";"Beobachtet: Neu, Anfrage-/Statusübersicht, Okay.";"Zugänglich";"Keine Entsorgungsanfrage erstellt; Einstiegsroute leitet auf /oil-tank-removals um."
"Services";"Baustellenservice";"/services/baustellenservice/baustellenservices";"Keine Einträge; Kundenname, Angefragt von/am, Status; Crew-/Abhol-/Fotodaten und Statusverfolgung erklärt.";"Beobachtet: Neu, Anfrage-/Statusübersicht, Okay.";"Zugänglich";"Keine Crew-Anfrage erstellt; Einstiegsroute leitet auf /baustellenservices um."
"Verkaufsassistent";"Verkaufsassistent";"/sales-assistant";"Bereich Allgemein/Neue Analyse/Analysen/Wettbewerber; eine Analyse und Wettbewerber My Solar Express sowie WM Erneuerbare Energien sichtbar.";"Beobachtet: Suche, Neue Analyse, Analyse-/Wettbewerber-Detail, Konkurrenzangebote hochladen; Zustimmung erforderlich; Analyse erstellen war deaktiviert.";"Zugänglich";"Keine PDFs/Bilder hochgeladen, keine Analyse gestartet; Upload-/KI-Funktionen nicht ausgeführt."
"Verkaufsassistent – Analyse";"Verkaufsassistent / WM Erneuerbare Energien – 11,25kWp PV mit Speicher & Wallbox";"/sales-assistant/d7a43086-8028-4224-bbf9-82dfe9f67044";"Vergleich zweier Angebote; Preis-/Leistungswerte; Stärken/Schwächen; nächste Schritte; fünf weitere Hinweise.";"Beobachtet: Angebot hinzufügen, Druck/Angebotsdetails, Wettbewerber ansehen, detaillierte Analyse.";"Zugänglich";"Repräsentative Analyse-UUID; keine Daten ergänzt oder neu analysiert."
"Verkaufsassistent – Wettbewerber";"Wettbewerber / My Solar Express";"/sales-assistant/competitors/a12e6f98-0e5f-4925-8c25-c1584775dd34";"1 verknüpftes Angebot; Stimmung durchwachsen; Bewertungen/Firmeninformationen und verknüpftes Angebot sichtbar.";"Beobachtet: Daten aktualisieren, Analyse anzeigen, Wettbewerber-Navigation.";"Zugänglich";"Externe Wettbewerberangaben sind Portalinhalt und wurden nicht unabhängig validiert; kein Aktualisieren ausgeführt."
"Rechnungen";"Rechnungen – Übersicht";"/invoicing/document-groups";"Dokumentgruppen Übersicht/Rechnungen/Gutschriften/Auftragsbestätigungen/Bestellungen/Lieferscheine/Briefe; überall 0; 0 Artikel.";"Beobachtet: Neu, Archiviert, Gruppen-Navigation, Suche nach Rechnungen/Projekten.";"Zugänglich";"Keine Dokumente erstellt."
"Rechnungen";"Rechnungen";"/invoicing/all-invoices";"Keine Einträge; Filter Status, Zahlungsstatus, Ausstellungs-/Fälligkeitsdatum, Archiviert.";"Beobachtet: Neu, Suche, Status-/Zahlungs-/Datumsfilter.";"Zugänglich";"Erstellungsschaltfläche nur beobachtet."
"Rechnungen";"Gutschriften";"/invoicing/credit-notes";"Keine Einträge; Filter Status, Typ, Ausstellungsdatum, Lieferdatum, Archiviert.";"Beobachtet: Neu, Suche, Filter.";"Zugänglich";"Keine Gutschrift erstellt."
"Rechnungen";"Auftragsbestätigungen";"/invoicing/offer-confirmations";"Keine Einträge; Filter Status, Ausstellungsdatum, Archiviert; Spalten für Liefer-/Leistungsdatum.";"Beobachtet: Neu, Suche, Filter.";"Zugänglich";"Keine Auftragsbestätigung erstellt."
"Rechnungen";"Bestellungen";"/invoicing/purchase-orders";"Keine Einträge; Filter Status, Ausstellungsdatum, Archiviert; Hinweis erste Bestellung erstellen.";"Beobachtet: Neu, Suche, Filter.";"Zugänglich";"Keine Bestellung erstellt."
"Rechnungen";"Lieferscheine";"/invoicing/deliver-notes";"Keine Einträge; Filter Status, Ausstellungsdatum, Archiviert; Hinweis ersten Lieferschein erstellen.";"Beobachtet: Neu, Suche, Filter.";"Zugänglich";"Kein Lieferschein erstellt."
"Rechnungen";"Briefe";"/invoicing/letters";"Keine Einträge; Filter Status, Ausstellungsdatum, Archiviert; Hinweis ersten Brief erstellen.";"Beobachtet: Neu, Suche, Filter.";"Zugänglich";"Kein Brief erstellt."
"Rechnungen";"Berichte";"/backoffice/reports";"Einnahmen/Cashflow diesen Monat 0 €, ausstehend/überfällig 0 €, keine neuesten Dokumente; Einnahmen nach Status und Überfälligkeitsbericht leer/0.";"Beobachtet: Übersicht, Forderungen, Daten herunterladen.";"Zugänglich";"Keine Daten heruntergeladen; Werte beziehen sich auf sichtbaren aktuellen Zeitraum."
"Zeiterfassung";"Zeiterfassung";"/timetracking";"Onboarding: Timer, manuelle Einträge, Projektverknüpfung, Pausen, Filtern/Suchen, Excel-Export; keine konkreten Einträge sichtbar.";"Beobachtet: Einführung/Verstanden; die beschriebenen Funktionen umfassen Timer, manuelle Zeit, Filter/Suche und Excel-Export.";"Zugänglich";"Verstanden nicht betätigt; kein Timer gestartet, kein Eintrag/Export."
"Komponenten";"Komponenten";"/settings/components/all";"Komponentenliste mit Name, Typ, Preis; viele PV-/Wallbox-/Speicher-/Serviceartikel.";"Beobachtet: Suche, Quelle/Typ/Erstellt/Bearbeitet/Archiviert-Filter, Komponente importieren, Komponenten-Detail öffnen.";"Zugänglich";"Sehr große Liste; nicht jeder Artikel einzeln geöffnet."
"Komponente – Detail";"Komponenten / SigenStor EVDC 25";"/settings/component/fab6b3b9-b51f-4725-9e22-8a66288d109d/latest";"Stammdaten, Marke/Artikelnummer/GTIN, Bauteiltyp, Einheit, Einkaufs-/Verkaufspreis, MwSt., Eigenschaften, Beschreibung, Datenblatt, Garantie, Bedienungsanleitung und 3D/AR-Bereich.";"Beobachtet: Bild ablegen, Bearbeiten, Text hinzufügen, Dokumente/3D-Modell hochladen, Speichern/Schließen.";"Zugänglich";"Repräsentative Komponenten-UUID; keine Felder/Dateien geändert."
"Updates";"Release Notes";"/release-notes";"28 sichtbare Produktupdates, u.a. Batterien/flexible Tarife/Margen, KI-Funktionen, Boards, Zeiterfassung, Services, Integrationen, Benachrichtigungen, Rechnungen, Suche und Branding.";"Beobachtet: Update-Liste/Lesen.";"Zugänglich";"Update-Inhalte sind zeitabhängig; keine weitere Produktaktion."
"Einstellungen – Nutzer";"Mein Nutzer / Profil";"/portal-settings";"Profilfelder, Buchungslink, persönliche Energyhouse-URL, Standort, WhatsApp-KI-Assistent, E-Mail-Signatur; Google Workspace nicht verbunden; Microsoft-Konto Daniel Ehmer verbunden.";"Beobachtet: Profil-/Verbindungs-/Signaturfelder, Speichern.";"Zugänglich";"Keine Profiländerung; Anzeige bezieht sich auf Daniel Ehmer."
"Einstellungen – Firmeneinstellungen";"Firmendetails";"/portal-settings?settings=company-details";"Firmendaten von WM erneuerbare Energien GmbH; Kontakt-/Adress-/Steuer-/Telefonfelder; ein Telefonfeld als ungültig markiert.";"Beobachtet: Firmendatenformular, Speichern.";"Zugänglich";"Keine Änderung; Formularvalidierung nicht ausgelöst."
"Einstellungen – Firmeneinstellungen";"Branding";"/portal-settings?settings=branding";"Logo, Primärfarbe #F25A29, Sekundärfarbe #2E4F6A und Angebotsvorschau.";"Beobachtet: Logo hochladen, Farben bearbeiten, Speichern.";"Zugänglich";"Keine Upload-/Farbänderung."
"Einstellungen – Firmeneinstellungen";"Pflichtfelder";"/portal-settings?settings=required-fields";"Pflichtfeldkonfiguration: Kontakte Vor-/Nachname; Projekte E-Mail und Adresse; API davon ausgenommen.";"Beobachtet: Pflichtfeldschalter/Checkboxen, Speichern.";"Zugänglich";"Keine Konfiguration geändert."
"Einstellungen – Firmeneinstellungen";"Lizenzen & Rechnungen";"/portal-settings?settings=licenses-and-billing";"Zahlungs-/Rechnungsdaten, Rechnungskontakt; aktive H360Collaborator-Lizenz seit 01.03.2026; Kündigungsoption.";"Beobachtet: Lizenz-/Rechnungsverwaltung, Kündigungsschaltfläche.";"Zugänglich";"Keine Kündigung oder Zahlungsänderung."
"Einstellungen – Firmeneinstellungen";"Nutzer & Teams";"/portal-settings?settings=users&tab=users";"Tabs Nutzer/Teams; Daniel Ehmer als Admin/H360Collaborator und Mikail Aslan als Editor sichtbar.";"Beobachtet: Suche/Filter Rolle, Lizenz, Berechtigungen, Rechte, externe Nutzer, Archiviert; Nutzer erstellen.";"Zugänglich";"Nutzer- und Rechteinformationen sind sitzungsbezogen; kein Nutzer erstellt/geändert."
