"Bereich";"Seite/Funktionsbereich";"URL-/Routenmuster";"Funktionen und Bedienelemente";"Zugriff/Beschränkungen"
"Startseite";"Reonic Portal";"/home";"globale Suche, Reonic KI, Agenten, Tabs/Filter, Öffnen, Hilfe, Updates, Empfehlung, Webinar-Hinweis.";""
"Aufgaben";"Aufgaben";"/tasks";"Suche, Fälligkeit/Nutzer/Teams/Labels-Filter, Abgeschlossen, Aufgabe hinzufügen, Aktionen.";""
"Dashboard";"Dashboard";"/360h/dashboard";"Deal-/Zeitraum-/Vergleichsfilter, Nutzer, Teams, Leadquelle, Tags, Archiviert.";""
"Wiki";"Wiki";"/wiki";"Suche, Firmen-/persönliche Seite erstellen.";""
"Kontakte";"Kontakte";"/contacts";"Suche, Sortierung Erstellt/Bearbeitet, Kontakt anlegen, Öffnen von Kontakt-Details.";""
"Kontakte – Detail";"Kontakt – Detailseite";"/contacts/{id}";"Kontaktfelder, Tabs, Zusammenführen/Speichern; verknüpfte Anfrage/Projekt.";""
"Kalender";"Kalender";"/calendar";"Heute, Neuer Termin, Kalenderauswahl, Planungsmodus, Monat/Woche/Tag/Agenda.";""
"Projekte – Haushalt";"Anfragen";"/360h/requests";"Importieren, neue Anfrage, Suche, Eingangs-/Status-/Board-/Nutzer-/Teams-/Tags-/Umgewandelt-/Quellen-/Vertriebsstatus-/Lead-Score-/Archiv-Filter.";""
"Projekte – Gewerbe";"Anfragen";"/360b/requests";"Liste/Kanban, Alle Anfragen, Suche, Status, Tags, Quellen, Vertriebsstatus, Lead-Score, Archiviert, Link zu Haushalt.";""
"Anfrage – Detail";"Anfrage – Detailseite";"/360h/request/{id}/basics";"Workflow-Navigation, Zuordnung, Notizen/Dateien/Aufgaben/Kalender/Mails, Statusaktionen und Archivieren.";""
"Anfrage – Services";"Services";"/360h/request/{id}/services-de/overview";"Details, Kontakt aufnehmen, Service öffnen.";""
